model,validation_macro_f1,test_macro_f1,accuracy,weighted_f1,macro_precision,macro_recall,rare_intent_recall,training_time_seconds,inference_time_ms,notes
TF-IDF + LR,0.786186455362005,0.7849674029352668,0.7673267326732673,0.7687227534526269,0.7922889611376167,0.7825551009697366,0.8380952380952381,33.40581798553467,0.017257020024970024,
TF-IDF + Linear SVM,0.7665978506289125,0.7862008045284747,0.7691831683168316,0.7695366511662448,0.8079239201137934,0.770786527160791,0.7964285714285714,2.921870231628418,0.019705236548244364,
Embedding Centroid,0.7693382068150655,0.737652130131615,0.7964108910891089,0.8006949916222966,0.7192936140710677,0.7863209912639784,0.7714285714285715,37.341121196746826,3.6547359558615353,
Embedding + LR,0.8701460261555101,0.8255666805235954,0.8836633663366337,0.8853425584164444,0.8039219200807531,0.8621942901368106,0.8130952380952382,84.9047966003418,3.650579859714697,
