Algorithm,Config,Silhouette,DaviesBouldin,NumClusters,MaxClusterPct,NoisePct
KMeans,K=6,0.028698265552520752,4.139689464262712,6,0.23446170921198667,0.0
KMeans,K=8,0.028544949367642403,4.063732533908523,8,0.20440251572327045,0.0
KMeans,K=10,0.03328941762447357,3.9032778223843216,10,0.15038845726970032,0.0
KMeans,K=12,0.03783279284834862,3.735417785244545,12,0.1320754716981132,0.0
KMeans,K=15,0.040188658982515335,3.6797290140961696,15,0.11394746577876434,0.0
HDBSCAN,default,0.24863241612911224,1.5384045674642624,31,0.015353311135775064,0.8737513873473918
